Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
Asia,Fiji,"630,000","60,000","<10,000","270,000","<10,000","<10,000","<10,000","<10,000","980,000"
Europe,Finland,"4,280,000","70,000","1,140,000","<10,000","<10,000","<10,000","<10,000","<10,000","5,510,000"
Europe,France,"37,940,000","5,430,000","20,830,000","40,000","310,000","250,000","110,000","340,000","65,260,000"
South America,French Guiana,"240,000","<10,000","10,000","<10,000","<10,000","20,000","<10,000","<10,000","280,000"
Asia,French Polynesia,"280,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","300,000"
Africa,Gabon,"1,400,000","230,000","110,000","<10,000","<10,000","110,000","10,000","<10,000","1,860,000"
Africa,Gambia,"100,000","2,260,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","2,370,000"
Europe,Georgia,"3,690,000","490,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","4,220,000"
Europe,Germany,"53,190,000","5,530,000","21,150,000","80,000","230,000","40,000","100,000","220,000","80,540,000"
Africa,Ghana,"22,330,000","5,300,000","1,160,000","<10,000","<10,000","1,500,000","40,000","<10,000","30,350,000"
Europe,Gibraltar,"30,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","30,000"
Europe,Greece,"9,850,000","660,000","690,000","20,000","<10,000","10,000","10,000","<10,000","11,250,000"
North America,Greenland,"50,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","60,000"
South America,Grenada,"120,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","120,000"
South America,Guadeloupe,"470,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","490,000"
Asia,Guam,"190,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","200,000"
South America,Guatemala,"17,360,000","<10,000","720,000","<10,000","<10,000","110,000","20,000","<10,000","18,210,000"
Africa,Guinea,"1,380,000","10,800,000","230,000","<10,000","10,000","340,000","<10,000","<10,000","12,760,000"
Africa,Guinea-Bissau,"350,000","850,000","80,000","<10,000","<10,000","560,000","<10,000","<10,000","1,840,000"
South America,Guyana,"580,000","50,000","20,000","200,000","<10,000","<10,000","<10,000","<10,000","850,000"
South America,Haiti,"10,040,000","<10,000","1,230,000","<10,000","<10,000","240,000","30,000","<10,000","11,550,000"
Europe,Vatican City,"<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000"
South America,Honduras,"7,950,000","10,000","950,000","<10,000","10,000","100,000","60,000","<10,000","9,090,000"
Asia,Hong Kong,"1,120,000","160,000","4,090,000","30,000","1,000,000","970,000","110,000","<10,000","7,480,000"
Europe,Hungary,"7,680,000","10,000","1,970,000","<10,000","<10,000","<10,000","<10,000","<10,000","9,690,000"
