"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2020","23,237.03","23,863.15","23,873.05","23,207.90","557.66M","-2.29%"
"Jan 30, 2020","23,781.10","23,892.30","23,982.66","23,687.64","454.73M","-1.59%"
"Jan 29, 2020","24,164.73","24,052.97","24,197.66","23,969.03","356.52M","0.57%"
"Jan 28, 2020","24,027.63","23,544.56","24,027.63","23,429.19","428.29M","2.61%"
"Jan 27, 2020","23,416.13","23,713.12","23,977.56","23,384.04","506.93M","-2.31%"
"Jan 24, 2020","23,969.13","23,848.46","24,083.13","23,848.46","368.59M","1.11%"
"Jan 23, 2020","23,707.05","23,716.43","23,901.15","23,611.20","379.43M","0.00%"
"Jan 22, 2020","23,706.29","23,887.83","23,906.79","23,680.40","424.39M","-0.58%"
"Jan 21, 2020","23,845.28","23,858.03","23,860.16","23,645.30","332.90M","-0.65%"
"Jan 20, 2020","24,002.45","24,032.65","24,084.94","23,973.43","218.20M","-0.57%"
"Jan 17, 2020","24,141.07","24,042.60","24,168.66","24,010.86","319.93M","0.84%"
"Jan 16, 2020","23,940.41","23,861.55","23,960.79","23,760.30","361.88M","0.74%"
"Jan 15, 2020","23,763.86","23,902.76","23,931.80","23,719.45","341.18M","-0.69%"
"Jan 14, 2020","23,928.21","23,931.94","23,947.97","23,706.43","350.71M","0.13%"
"Jan 13, 2020","23,896.59","24,061.45","24,061.45","23,829.41","340.84M","-0.52%"
"Jan 10, 2020","24,021.40","24,061.43","24,146.55","23,966.36","326.01M","0.02%"
"Jan 09, 2020","24,016.70","23,979.65","24,078.29","23,963.51","430.64M","0.77%"
"Jan 08, 2020","23,832.02","23,550.61","23,893.01","23,480.62","472.51M","0.46%"
"Jan 07, 2020","23,723.38","23,688.25","23,793.67","23,635.90","306.34M","0.60%"
"Jan 06, 2020","23,581.29","23,565.92","23,607.54","23,265.21","349.16M","-0.51%"
"Jan 03, 2020","23,702.35","23,709.90","23,759.89","23,516.81","325.92M","-0.56%"
"Jan 02, 2020","23,836.26","23,606.97","23,861.99","23,571.59","264.54M","1.40%"
