"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","195.40","196.63","196.69","192.08","79.78K","-0.71%"
"Apr 27, 2020","196.80","197.50","198.74","189.99","96.53K","-0.33%"
"Apr 26, 2020","197.45","194.03","199.68","192.54","87.29K","1.64%"
"Apr 25, 2020","194.26","187.71","198.00","186.00","114.63K","3.51%"
"Apr 24, 2020","187.68","185.84","189.99","185.50","61.47K","0.99%"
"Apr 23, 2020","185.84","183.00","194.61","178.68","153.41K","1.55%"
"Apr 22, 2020","183.00","170.63","184.15","170.10","97.05K","7.15%"
"Apr 21, 2020","170.79","170.51","174.73","168.29","67.29K","0.12%"
"Apr 20, 2020","170.58","180.45","186.69","166.93","200.72K","-5.54%"
"Apr 19, 2020","180.59","187.87","188.73","176.82","96.34K","-3.88%"
"Apr 18, 2020","187.87","171.28","189.84","171.21","114.92K","9.69%"
"Apr 17, 2020","171.27","172.54","175.23","168.89","82.15K","-0.74%"
"Apr 16, 2020","172.54","153.00","175.29","148.64","195.43K","12.77%"
"Apr 15, 2020","153.00","158.55","161.39","152.37","60.34K","-3.49%"
"Apr 14, 2020","158.54","156.64","161.94","155.43","69.66K","1.14%"
"Apr 13, 2020","156.75","158.91","159.25","149.58","109.62K","-1.26%"
"Apr 12, 2020","158.75","158.70","165.37","155.43","78.69K","0.03%"
"Apr 11, 2020","158.70","158.10","161.50","154.37","61.84K","0.37%"
"Apr 10, 2020","158.11","170.01","170.20","152.62","544.02K","-7.00%"
"Apr 09, 2020","170.01","173.30","173.67","165.21","67.54K","-1.82%"
"Apr 08, 2020","173.16","164.90","174.60","163.78","90.25K","5.01%"
"Apr 07, 2020","164.90","171.52","176.00","162.42","169.23K","-3.85%"
"Apr 06, 2020","171.50","142.95","172.02","142.94","201.64K","19.95%"
"Apr 05, 2020","142.98","144.54","146.05","140.83","38.89K","-1.07%"
"Apr 04, 2020","144.53","141.59","146.56","139.27","46.46K","2.08%"
"Apr 03, 2020","141.58","141.80","147.00","138.01","58.04K","-0.16%"
"Apr 02, 2020","141.80","136.55","150.31","135.89","154.67K","3.84%"
"Apr 01, 2020","136.55","133.20","137.49","129.25","62.46K","2.58%"
"Mar 31, 2020","133.12","132.32","135.45","130.63","33.04K","0.66%"
"Mar 30, 2020","132.25","124.79","135.42","124.52","85.23K","6.03%"
"Mar 29, 2020","124.73","131.24","132.19","124.08","82.25K","-4.87%"
"Mar 28, 2020","131.11","130.99","133.26","125.14","102.00K","0.11%"
"Mar 27, 2020","130.97","138.93","141.92","129.71","85.36K","-5.60%"
"Mar 26, 2020","138.74","136.16","139.89","133.61","50.65K","1.90%"
"Mar 25, 2020","136.16","138.56","142.73","132.37","81.03K","-1.93%"
"Mar 24, 2020","138.84","136.45","143.70","133.09","110.67K","1.73%"
"Mar 23, 2020","136.48","122.29","138.23","119.60","168.10K","11.42%"
"Mar 22, 2020","122.49","132.84","137.21","121.03","119.17K","-7.79%"
"Mar 21, 2020","132.84","133.58","137.66","126.04","113.66K","-0.45%"
"Mar 20, 2020","133.44","136.67","152.74","116.05","354.80K","-2.24%"
"Mar 19, 2020","136.50","118.72","143.28","115.77","325.10K","15.05%"
"Mar 18, 2020","118.64","116.30","118.96","110.47","104.12K","1.99%"
"Mar 17, 2020","116.32","111.76","122.00","110.00","125.76K","4.08%"
"Mar 16, 2020","111.76","124.25","124.48","101.20","336.05K","-10.05%"
"Mar 15, 2020","124.24","123.38","134.35","121.05","153.04K","0.57%"
"Mar 14, 2020","123.54","135.23","135.54","121.77","138.84K","-8.63%"
"Mar 13, 2020","135.21","109.57","144.16","90.00","900.95K","23.45%"
"Mar 12, 2020","109.53","195.58","196.53","103.04","1.63M","-44.00%"
"Mar 11, 2020","195.60","201.29","203.66","183.00","151.05K","-2.75%"
"Mar 10, 2020","201.13","203.72","207.00","196.89","128.42K","-1.27%"
"Mar 09, 2020","203.72","200.35","209.43","191.31","293.86K","1.68%"
"Mar 08, 2020","200.35","238.11","238.19","197.00","273.87K","-15.89%"
"Mar 07, 2020","238.21","246.24","252.99","237.18","99.31K","-3.20%"
"Mar 06, 2020","246.09","229.36","246.10","228.27","83.03K","7.28%"
"Mar 05, 2020","229.40","225.27","235.18","225.27","70.89K","1.91%"
"Mar 04, 2020","225.10","224.66","229.42","221.36","68.43K","0.34%"
"Mar 03, 2020","224.33","232.81","233.64","220.87","69.68K","-3.52%"
"Mar 02, 2020","232.52","218.53","235.18","216.73","88.65K","6.39%"
"Mar 01, 2020","218.56","218.27","228.71","213.15","113.80K","0.05%"
"Feb 29, 2020","218.45","228.43","233.50","218.22","69.96K","-4.37%"
"Feb 28, 2020","228.43","227.61","234.92","214.24","126.97K","0.40%"
"Feb 27, 2020","227.52","224.14","238.00","210.79","192.39K","1.53%"
"Feb 26, 2020","224.10","247.00","250.66","216.41","348.56K","-9.32%"
"Feb 25, 2020","247.13","265.74","266.33","245.29","147.03K","-7.08%"
"Feb 24, 2020","265.97","275.73","278.19","256.85","155.45K","-3.54%"
"Feb 23, 2020","275.72","261.68","276.20","261.49","86.18K","5.18%"
"Feb 22, 2020","262.14","265.50","266.68","256.60","44.42K","-1.24%"
"Feb 21, 2020","265.43","257.67","268.29","254.68","92.52K","2.94%"
"Feb 20, 2020","257.84","258.20","263.84","245.54","158.34K","-0.43%"
"Feb 19, 2020","258.95","283.01","287.00","251.41","156.05K","-8.50%"
"Feb 18, 2020","283.00","268.16","286.24","259.76","171.89K","5.59%"
"Feb 17, 2020","268.02","258.88","268.29","243.13","200.75K","3.17%"
"Feb 16, 2020","259.78","264.84","273.63","238.44","230.80K","-1.94%"
"Feb 15, 2020","264.93","284.98","287.32","264.00","197.55K","-7.03%"
"Feb 14, 2020","284.97","268.30","286.44","260.24","130.12K","6.13%"
"Feb 13, 2020","268.51","265.55","276.02","255.96","166.14K","1.27%"
"Feb 12, 2020","265.14","237.06","273.70","237.06","247.43K","11.76%"
"Feb 11, 2020","237.24","223.14","239.00","218.25","66.80K","6.32%"
"Feb 10, 2020","223.14","228.23","229.21","216.68","89.64K","-2.23%"
"Feb 09, 2020","228.23","222.64","230.00","222.55","70.86K","2.49%"
"Feb 08, 2020","222.69","223.11","227.58","213.09","92.55K","-0.19%"
"Feb 07, 2020","223.11","212.60","223.90","212.60","131.05K","4.95%"
"Feb 06, 2020","212.59","203.79","216.00","201.02","97.27K","4.32%"
"Feb 05, 2020","203.79","189.06","207.86","188.29","112.61K","7.79%"
"Feb 04, 2020","189.06","190.19","191.76","184.89","32.83K","-0.71%"
"Feb 03, 2020","190.41","188.85","195.67","187.01","52.55K","0.91%"
"Feb 02, 2020","188.69","184.00","193.95","179.66","73.81K","2.51%"
"Feb 01, 2020","184.07","180.27","184.46","179.67","62.12K","2.22%"
"Jan 31, 2020","180.08","184.52","185.50","175.23","40.93K","-2.46%"
"Jan 30, 2020","184.62","173.68","186.74","171.09","86.59K","6.22%"
"Jan 29, 2020","173.81","176.08","178.78","173.38","31.18K","-1.29%"
"Jan 28, 2020","176.09","170.14","176.64","170.14","49.55K","3.50%"
"Jan 27, 2020","170.14","168.20","172.06","165.45","64.45K","1.18%"
"Jan 26, 2020","168.16","160.32","168.27","159.56","62.74K","4.79%"
"Jan 25, 2020","160.47","162.69","162.73","157.82","14.48K","-1.38%"
"Jan 24, 2020","162.71","162.73","164.42","155.76","30.79K","-0.13%"
"Jan 23, 2020","162.92","167.70","167.70","159.21","37.90K","-2.85%"
"Jan 22, 2020","167.70","169.33","171.18","165.67","18.11K","-0.97%"
"Jan 21, 2020","169.33","166.87","169.99","164.96","27.03K","1.48%"
"Jan 20, 2020","166.86","166.73","169.00","161.09","33.65K","0.01%"
"Jan 19, 2020","166.84","173.58","177.55","161.21","84.55K","-3.88%"
"Jan 18, 2020","173.58","169.18","178.97","165.00","90.53K","2.52%"
"Jan 17, 2020","169.32","164.01","174.00","161.98","104.12K","3.23%"
"Jan 16, 2020","164.03","166.15","167.11","158.46","66.63K","-1.22%"
"Jan 15, 2020","166.05","164.73","171.00","159.00","132.50K","0.65%"
"Jan 14, 2020","164.98","143.52","169.78","143.49","213.40K","14.93%"
"Jan 13, 2020","143.55","146.40","146.94","142.24","25.54K","-1.91%"
"Jan 12, 2020","146.35","142.41","146.35","141.71","22.58K","2.72%"
"Jan 11, 2020","142.48","144.59","147.74","142.04","36.47K","-1.45%"
"Jan 10, 2020","144.57","137.57","144.95","135.36","41.79K","4.91%"
"Jan 09, 2020","137.81","140.59","141.32","135.43","29.44K","-1.91%"
"Jan 08, 2020","140.50","142.95","147.73","137.30","65.44K","-1.81%"
"Jan 07, 2020","143.09","144.23","144.97","139.06","49.51K","-0.76%"
"Jan 06, 2020","144.18","135.54","144.27","135.09","66.63K","6.33%"
"Jan 05, 2020","135.60","134.49","138.44","134.42","46.00K","0.83%"
"Jan 04, 2020","134.49","134.89","136.26","133.12","23.57K","-0.19%"
"Jan 03, 2020","134.74","127.56","135.57","126.39","76.51K","5.63%"
"Jan 02, 2020","127.56","130.94","130.94","126.84","46.99K","-2.58%"
"Jan 01, 2020","130.94","129.45","133.24","128.90","37.25K","1.15%"
