"Date","Price","Open","High","Low","Change %"
"Apr 28, 2020","0.8059","0.8051","0.8062","0.8041","0.18%"
"Apr 27, 2020","0.8045","0.8084","0.8091","0.8029","-0.50%"
"Apr 26, 2020","0.8086","0.8088","0.8088","0.8084","0.01%"
"Apr 24, 2020","0.8084","0.8101","0.8132","0.8079","-0.11%"
"Apr 23, 2020","0.8094","0.8108","0.8125","0.8054","-0.17%"
"Apr 22, 2020","0.8108","0.8134","0.8148","0.8073","-0.33%"
"Apr 21, 2020","0.8134","0.8041","0.8166","0.8031","1.16%"
"Apr 20, 2020","0.8041","0.8008","0.8054","0.7997","0.51%"
"Apr 17, 2020","0.8000","0.8028","0.8060","0.7985","-0.35%"
"Apr 16, 2020","0.8027","0.7991","0.8060","0.7980","0.48%"
"Apr 15, 2020","0.7990","0.7926","0.8041","0.7917","0.86%"
"Apr 14, 2020","0.7921","0.7991","0.7997","0.7907","-0.90%"
"Apr 13, 2020","0.7993","0.8023","0.8031","0.7976","-0.45%"
"Apr 10, 2020","0.8030","0.8027","0.8036","0.8008","0.02%"
"Apr 09, 2020","0.8027","0.8074","0.8090","0.8010","-0.56%"
"Apr 08, 2020","0.8073","0.8105","0.8138","0.8051","-0.45%"
"Apr 07, 2020","0.8109","0.8176","0.8221","0.8074","-0.81%"
"Apr 06, 2020","0.8176","0.8154","0.8191","0.8112","0.25%"
"Apr 03, 2020","0.8156","0.8067","0.8192","0.8056","1.08%"
"Apr 02, 2020","0.8069","0.8080","0.8098","0.8015","-0.13%"
"Apr 01, 2020","0.8079","0.8045","0.8110","0.8037","0.34%"
"Mar 31, 2020","0.8052","0.8055","0.8163","0.8016","-0.01%"
"Mar 30, 2020","0.8053","0.8042","0.8120","0.8020","0.32%"
"Mar 27, 2020","0.8027","0.8195","0.8243","0.8009","-2.04%"
"Mar 26, 2020","0.8194","0.8413","0.8493","0.8176","-2.64%"
"Mar 25, 2020","0.8417","0.8504","0.8591","0.8350","-1.03%"
"Mar 24, 2020","0.8504","0.8659","0.8690","0.8474","-1.78%"
"Mar 23, 2020","0.8658","0.8576","0.8736","0.8518","0.81%"
"Mar 20, 2020","0.8589","0.8706","0.8765","0.8379","-1.34%"
"Mar 19, 2020","0.8705","0.8609","0.8716","0.8479","1.05%"
"Mar 18, 2020","0.8615","0.8253","0.8723","0.8244","3.83%"
"Mar 17, 2020","0.8297","0.8148","0.8333","0.8146","1.78%"
"Mar 16, 2020","0.8152","0.8139","0.8196","0.8044","0.10%"
"Mar 13, 2020","0.8144","0.7953","0.8151","0.7920","2.39%"
"Mar 12, 2020","0.7954","0.7802","0.8006","0.7782","1.99%"
"Mar 11, 2020","0.7799","0.7750","0.7811","0.7706","0.67%"
"Mar 10, 2020","0.7747","0.7616","0.7763","0.7614","1.75%"
"Mar 09, 2020","0.7614","0.7664","0.7674","0.7575","-0.64%"
"Mar 06, 2020","0.7663","0.7720","0.7726","0.7659","-0.64%"
"Mar 05, 2020","0.7712","0.7770","0.7776","0.7712","-0.73%"
