"Date","Price","Open","High","Low","Change %"
"Apr 28, 2020","7.0863","7.0834","7.0903","7.0834","-0.00%"
"Apr 27, 2020","7.0865","7.0722","7.0915","7.0705","0.06%"
"Apr 24, 2020","7.0819","7.0809","7.0893","7.0742","0.22%"
"Apr 23, 2020","7.0667","7.0841","7.0888","7.0648","-0.25%"
"Apr 22, 2020","7.0841","7.0897","7.0920","7.0775","-0.11%"
"Apr 21, 2020","7.0920","7.0823","7.0988","7.0799","0.26%"
"Apr 20, 2020","7.0736","7.0802","7.0834","7.0679","0.01%"
"Apr 17, 2020","7.0731","7.0678","7.0832","7.0654","-0.10%"
"Apr 16, 2020","7.0798","7.0723","7.0840","7.0696","0.17%"
"Apr 15, 2020","7.0676","7.0476","7.0686","7.0455","0.27%"
"Apr 14, 2020","7.0486","7.0500","7.0629","7.0400","-0.06%"
"Apr 13, 2020","7.0526","7.0360","7.0570","7.0360","0.24%"
"Apr 10, 2020","7.0360","7.0475","7.0483","7.0275","-0.10%"
"Apr 09, 2020","7.0432","7.0645","7.0743","7.0335","-0.32%"
"Apr 08, 2020","7.0660","7.0621","7.0738","7.0575","0.29%"
"Apr 07, 2020","7.0458","7.0870","7.0873","7.0447","-0.66%"
"Apr 03, 2020","7.0928","7.0887","7.0994","7.0802","0.12%"
"Apr 02, 2020","7.0841","7.1165","7.1283","7.0840","-0.23%"
"Apr 01, 2020","7.1001","7.0825","7.1088","7.0798","0.25%"
"Mar 31, 2020","7.0825","7.0965","7.1019","7.0803","-0.25%"
"Mar 30, 2020","7.1003","7.0963","7.1051","7.0872","0.06%"
"Mar 27, 2020","7.0963","7.0630","7.0998","7.0557","0.32%"
"Mar 26, 2020","7.0735","7.0949","7.1220","7.0686","-0.58%"
"Mar 25, 2020","7.1148","7.0631","7.1180","7.0490","0.73%"
"Mar 24, 2020","7.0630","7.0870","7.0928","7.0572","-0.42%"
"Mar 23, 2020","7.0925","7.0997","7.1232","7.0788","-0.05%"
